neighbourhood_group,price,price_per_minimum_night
Bronx,87.78756957328386,51.307408608707306
Brooklyn,123.73399558498896,57.9051527619794
Manhattan,195.79068137209086,87.97863324436976
Queens,97.14409937888199,55.58743043376672
Staten Island,114.85215053763442,66.1184901264766
